tag,collaboration,category,channel,arxiv,doi,inspire_id,hepdata_id,hepdata_status,local_hepdata_tags,local_hepdata_table_count,paper_pdf_available,arxiv_source_available,paper_pdf_path,arxiv_source_path,notes
BaBar_2008_KKeta_KKpi0_KSKpi_PRD77_092002,BaBar,exclusive hadronic channel,"e+e- -> K+K-eta, K+K-pi0, KS K pi using ISR",0710.4451,10.1103/PhysRevD.77.092002,765258,ins765258,hepdata_downloaded_validated,BaBar_2008_KKpi_D77_092002;BaBar_2011_KKpi0_1103_3001,18,yes,yes,raw_papers/arxiv_pdf/BaBar_2008_KKeta_KKpi0_KSKpi_PRD77_092002_0710.4451.pdf,raw_papers/arxiv_source/BaBar_2008_KKeta_KKpi0_KSKpi_PRD77_092002_0710.4451.tar,
BaBar_2009_pipi_gamma_PRL103_231801,BaBar,exclusive hadronic channel,e+e- -> pi+ pi- (gamma) using ISR,0908.3589,10.1103/PhysRevLett.103.231801,829441,,no_hepdata_record_identified,,0,yes,yes,raw_papers/arxiv_pdf/BaBar_2009_pipi_gamma_PRL103_231801_0908.3589.pdf,raw_papers/arxiv_source/BaBar_2009_pipi_gamma_PRL103_231801_0908.3589.tar,
BaBar_2012_pipi_gamma_PRD86_032013_HEPData_v2,BaBar,exclusive hadronic channel,e+e- -> pi+ pi- (gamma) using ISR; full machine-readable release,1205.2228,10.1103/PhysRevD.86.032013,1114155,ins1114155,hepdata_known_not_local,,0,yes,yes,raw_papers/arxiv_pdf/BaBar_2012_pipi_gamma_PRD86_032013_HEPData_v2_1205.2228.pdf,raw_papers/arxiv_source/BaBar_2012_pipi_gamma_PRD86_032013_HEPData_v2_1205.2228.tar,
BaBar_2012_KKpipi_update_PRD86_012008,BaBar,exclusive hadronic channel,"e+e- -> K+K-pi+pi-, K+K-pi0pi0, K+K-K+K- update using ISR",1103.3001,10.1103/PhysRevD.86.012008,892684,ins892684,hepdata_known_not_local,,0,yes,yes,raw_papers/arxiv_pdf/BaBar_2012_KKpipi_update_PRD86_012008_1103.3001.pdf,raw_papers/arxiv_source/BaBar_2012_KKpipi_update_PRD86_012008_1103.3001.tar,
CMD2_2004_reanalysis_PLB578_285,CMD-2,exclusive hadronic channel,"reanalysis of e+e- -> pi+pi-, omega -> 3pi, phi -> KLKS",hep-ex/0308008,10.1016/j.physletb.2003.10.108,624947,,no_hepdata_record_identified,,0,yes,yes,raw_papers/arxiv_pdf/CMD2_2004_reanalysis_PLB578_285_hep-ex_0308008.pdf,raw_papers/arxiv_source/CMD2_2004_reanalysis_PLB578_285_hep-ex_0308008.tar,
CMD2_2006_low_energy_pipi_JETPL84_413,CMD-2,exclusive hadronic channel,e+e- -> pi+pi- from 370 to 520 MeV,hep-ex/0610016,10.1134/S0021364006200021,728191,ins728191,hepdata_known_not_local,,0,yes,yes,raw_papers/arxiv_pdf/CMD2_2006_low_energy_pipi_JETPL84_413_hep-ex_0610016.pdf,raw_papers/arxiv_source/CMD2_2006_low_energy_pipi_JETPL84_413_hep-ex_0610016.tar,
CMD2_2007_pipi_PLB648_28,CMD-2,exclusive hadronic channel,pion form factor in rho region,hep-ex/0610021,10.1016/j.physletb.2007.01.073,728302,ins728302,hepdata_downloaded_validated,CMD2_2007_pipi_B648_28,2,yes,yes,raw_papers/arxiv_pdf/CMD2_2007_pipi_PLB648_28_hep-ex_0610021.pdf,raw_papers/arxiv_source/CMD2_2007_pipi_PLB648_28_hep-ex_0610021.tar,
CMD2_2005_pipi_1040_1380_JETPL82_743,CMD-2,exclusive hadronic channel,pion form factor from 1.04 to 1.38 GeV,hep-ex/0603021,10.1134/1.2175241,712216,ins712216,hepdata_known_not_local,,0,yes,yes,raw_papers/arxiv_pdf/CMD2_2005_pipi_1040_1380_JETPL82_743_hep-ex_0603021.pdf,raw_papers/arxiv_source/CMD2_2005_pipi_1040_1380_JETPL82_743_hep-ex_0603021.tar,
CMD2_2008_KK_PLB669_217,CMD-2,exclusive hadronic channel,e+e- -> phi -> K+K-,0804.0178,10.1016/j.physletb.2008.09.053,782516,ins782516,hepdata_downloaded_validated,CMD2_2008_KK_B669_217,2,yes,yes,raw_papers/arxiv_pdf/CMD2_2008_KK_PLB669_217_0804.0178.pdf,raw_papers/arxiv_source/CMD2_2008_KK_PLB669_217_0804.0178.tar,
CMD2_2006_3pi_PLB642_203,CMD-2,exclusive hadronic channel,phi -> pi+pi-pi0,,10.1016/j.physletb.2006.09.041,734590,ins734590,hepdata_downloaded_validated,CMD2_2007_3pi_B642_203,1,no,no,,,
SND_2006_pipi_JETP103_380,SND,exclusive hadronic channel,updated e+e- -> pi+pi- from 400 to 1000 MeV,hep-ex/0605013,10.1134/S106377610609007X,716141,,no_hepdata_record_identified,,0,yes,yes,raw_papers/arxiv_pdf/SND_2006_pipi_JETP103_380_hep-ex_0605013.pdf,raw_papers/arxiv_source/SND_2006_pipi_JETP103_380_hep-ex_0605013.tar,
SND_2005_pipi_JETP101_1053_HEPData,SND,exclusive hadronic channel,e+e- -> pi+pi- from 400 to 1000 MeV; HEPData record adjacent to 2006 update,,,686349,ins686349,hepdata_known_not_local,,0,no,no,,,
SND_2007_KK_PRD76_072012,SND,exclusive hadronic channel,e+e- -> K+K- from 1.04 to 1.38 GeV,0707.2279,10.1103/PhysRevD.76.072012,755881,ins755881,hepdata_downloaded_validated,SND_2007_KK_D76_072012,1,yes,yes,raw_papers/arxiv_pdf/SND_2007_KK_PRD76_072012_0707.2279.pdf,raw_papers/arxiv_source/SND_2007_KK_PRD76_072012_0707.2279.tar,
SND_2006_KSKL_JETP103_720,SND,exclusive hadronic channel,e+e- -> KS KL from 1.04 to 1.38 GeV,hep-ex/0606057,10.1134/S1063776106110070,720035,ins720035,hepdata_known_not_local,,0,yes,yes,raw_papers/arxiv_pdf/SND_2006_KSKL_JETP103_720_hep-ex_0606057.pdf,raw_papers/arxiv_source/SND_2006_KSKL_JETP103_720_hep-ex_0606057.tar,
BES_2000_R_PRL84_594,BES,inclusive R(s),R = sigma(e+e- -> hadrons)/sigma(e+e- -> mu+mu-) from 2.6 to 5 GeV,hep-ex/9908046,10.1103/PhysRevLett.84.594,505323,ins505323,hepdata_known_not_local,,0,yes,yes,raw_papers/arxiv_pdf/BES_2000_R_PRL84_594_hep-ex_9908046.pdf,raw_papers/arxiv_source/BES_2000_R_PRL84_594_hep-ex_9908046.tar,
BES_2002_R_PRL88_101802,BES,inclusive R(s),R at 85 center-of-mass energies from 2 to 5 GeV,hep-ex/0102003,10.1103/PhysRevLett.88.101802,552757,ins552757,hepdata_known_not_local,,0,yes,yes,raw_papers/arxiv_pdf/BES_2002_R_PRL88_101802_hep-ex_0102003.pdf,raw_papers/arxiv_source/BES_2002_R_PRL88_101802_hep-ex_0102003.tar,
BES_2003_final_R_scan_NPBPS117_158,BES,inclusive R(s),final R values from 2 to 5 GeV and QCD test,hep-ex/0210042,10.1016/S0920-5632(03)90514-7,600016,,no_hepdata_record_identified,,0,yes,yes,raw_papers/arxiv_pdf/BES_2003_final_R_scan_NPBPS117_158_hep-ex_0210042.pdf,raw_papers/arxiv_source/BES_2003_final_R_scan_NPBPS117_158_hep-ex_0210042.tar,
BES_2006_R_PRL97_262001,BES,inclusive R(s),R_uds and R_had from 3.650 to 3.872 GeV,hep-ex/0612054,10.1103/PhysRevLett.97.262001,735496,,no_hepdata_record_identified,,0,yes,yes,raw_papers/arxiv_pdf/BES_2006_R_PRL97_262001_hep-ex_0612054.pdf,raw_papers/arxiv_source/BES_2006_R_PRL97_262001_hep-ex_0612054.tar,
BES_2009_R_PLB677_239,BES,inclusive R(s),"R at 2.60, 3.07, and 3.65 GeV",0903.0900,10.1016/j.physletb.2009.05.055,814778,ins814778,hepdata_downloaded_validated,BES_2006_R_PRL97_262001;BES_2009_R_PLB677_239,2,yes,yes,raw_papers/arxiv_pdf/BES_2009_R_PLB677_239_0903.0900.pdf,raw_papers/arxiv_source/BES_2009_R_PLB677_239_0903.0900.tar,
CLEO_2007_total_hadronic_PRD76_072008,CLEO,inclusive R(s),total hadronic cross section below 10.56 GeV,0706.2813,10.1103/PhysRevD.76.072008,753556,ins753556,hepdata_downloaded_validated,CLEO_2007_R_D76_072008,1,yes,yes,raw_papers/arxiv_pdf/CLEO_2007_total_hadronic_PRD76_072008_0706.2813.pdf,raw_papers/arxiv_source/CLEO_2007_total_hadronic_PRD76_072008_0706.2813.tar,
MARKI_1975_R_PRL34_764,MARK I,legacy inclusive R(s),total hadron production from 2.4 to 5.0 GeV,,10.1103/PhysRevLett.34.764,100592,ins100592,hepdata_known_not_local,,0,no,no,,,
MD1_1996_R_ZPC70_31,MD-1,legacy inclusive R(s),R in e+e- annihilation from 7.2 to 10.34 GeV,,10.1007/s002880050077,364141,ins364141,hepdata_known_not_local,,0,no,no,,,
LENA_1982_R_ZPC15_299,LENA,legacy inclusive R(s),R in e+e- annihilation from 7.4 to 9.4 GeV,,10.1007/BF01614421,179431,ins179431,hepdata_known_not_local,,0,no,no,,,
